2637	289	9647
2839	58	3318
9804	565	9881
3541	634	6486
5165	562	8971
6798	460	7384
10466	319	8710
10644	133	9641
8459	571	126
8015	199	7863
148	571	10256
8870	472	437
8319	286	2943
5216	442	8869
9862	10	681
6955	325	9203
3063	325	7419
1088	268	8879
2141	31	3407
1434	28	2811
7884	280	3325
719	484	3056
1349	175	5428
6171	385	8474
5903	460	8145
6046	31	5870
5890	706	5684
3938	13	1017
3952	10	3766
8858	430	641
8128	562	7754
3237	40	10132
1557	553	7779
3292	466	949
5220	475	618
5838	574	5191
9282	217	3561
10281	415	8766
8177	565	8374
6605	205	7894
9067	571	7826
9892	481	7138
4036	346	10446
1521	67	7754
3226	625	8132
4438	466	6767
2927	262	7254
1876	28	6495
2161	205	10648
615	454	5903
846	37	4256
5260	31	5010
6656	460	10054
6646	445	2152
7272	157	5445
6121	706	5684
377	478	3441
5063	586	5877
10018	37	6574
2318	289	7754
8782	37	205
2922	268	8633
8824	259	6635
6680	325	4960
5704	28	8487
9491	31	7014
6507	319	4284
6477	31	1674
727	559	3266
4490	241	10593
9452	19	8036
330	445	455
691	418	5302
2824	259	3266
10703	706	5684
2189	205	7100
7482	58	4907
2695	205	10805
3542	151	7583
1077	205	85
4303	526	5132
4572	169	5476
735	16	6222
3659	10	5575
7920	13	3055
1418	31	1567
3692	31	3346
328	493	10322
9444	16	6999
9033	220	8971
5877	550	6267
1293	571	7826
3292	469	8871
626	256	1099
3069	31	3915
8858	430	291
3876	562	7754
9431	220	6366
5773	586	5877
6899	571	10493
3473	136	7863
6345	289	4918
1916	28	5117
8625	496	7290
943	16	914
4924	220	7754
9339	178	5161
6367	556	4069
55	235	7863
8129	40	9385
9978	466	3481
7362	613	2770
8200	175	4596
8853	46	8732
333	28	915
6257	13	7114
1291	562	3342
7183	424	271
867	571	3297
3593	34	2381
2131	442	9980
10790	511	6266
6650	346	9660
5373	250	7136
946	13	2033
3445	571	8885
5970	10	9370
5344	31	5133
8066	652	234
7566	37	7441
2698	688	9652
4124	229	5248
1154	586	5877
3763	568	10458
616	418	2136
2889	571	3297
6158	280	2388
7095	10	3954
7976	100	516
693	469	6895
9981	469	9213
85	289	4933
8270	571	1003
2309	562	7754
5117	10	3496
4605	103	522
6621	562	7754
3671	10	9835
7842	151	7583
6297	571	939
6466	652	331
7272	157	1315
3622	562	7754
8344	268	8879
2957	235	7863
153	628	7442
7276	445	624
863	502	7863
6403	607	1799
8586	43	6013
7670	31	7629
1069	688	2241
5664	13	5734
9933	31	738
778	10	7591
151	205	2136
1639	34	81
1761	547	5943
8990	13	1384
10648	40	3653
10332	289	4912
3955	10	7760
2319	418	4246
595	301	7986
1313	139	7863
8512	283	674
680	442	5193
10727	346	1508
2463	511	6919
8056	385	8024
2762	37	489
1913	571	3329
5718	61	6651
308	34	5682
8889	289	7754
430	403	7863
4891	187	5007
5406	151	7583
658	475	7386
7723	13	5900
10015	700	6684
2007	586	1153
9853	259	3266
10419	16	6222
10115	571	3297
8321	154	8321
1232	448	6566
1556	568	2964
5137	31	1866
9075	592	2885
3187	16	3091
6501	235	7863
2780	37	10422
7694	472	8870
10077	205	431
2339	28	8990
4178	31	518
2077	586	5877
6094	31	4007
9067	31	4498
4589	553	9967
2008	586	5877
7501	289	5549
4767	571	5530
7807	205	7283
8002	88	9915
149	571	3297
1425	37	1517
2117	511	2964
7793	268	8879
6681	679	9301
460	445	3872
7493	289	9865
999	562	8605
7253	352	6614
8535	10	1300
4111	268	8879
4406	445	1471
3684	10	7989
7307	490	3441
4925	115	6054
8645	577	6715
4179	31	7277
2147	517	9476
3577	634	3227
4034	13	1021
4824	22	4510
3562	10	2900
892	151	7583
8942	10	8368
9886	40	9397
8559	385	1692
9385	10	10806
2928	256	8550
4274	370	3266
5482	13	456
1778	118	7863
2035	346	4397
250	571	8415
1157	28	8112
7786	220	7754
7799	301	8520
10020	478	3439
6018	256	1263
7849	268	7954
6615	34	2492
2763	298	10146
9372	205	8447
9593	58	976
10641	484	7728
10790	175	1485
2062	565	10316
3883	556	6489
1026	613	5366
4306	31	7292
5992	556	6489
6984	571	3297
4662	241	10142
3671	10	9798
8559	493	9725
6934	235	7863
914	19	10726
3779	553	7343
2761	43	5421
5171	595	3515
7257	28	924
10818	28	7897
10716	604	3661
778	10	10537
2534	16	914
3248	16	3723
7717	10	9479
9476	385	9898
8555	592	9655
7547	688	4369
8475	34	9854
7950	10	8096
2973	565	781
1832	43	3561
5044	301	4818
8136	55	9646
6567	499	10029
5785	31	2786
5544	28	7113
6511	241	8470
8899	436	4937
7380	19	5833
476	205	3185
4398	676	7754
8253	586	5877
4605	385	3296
542	31	3216
4723	256	6315
7267	307	6841
637	301	10255
518	28	6311
8256	31	3910
7260	31	2594
3381	532	3808
1312	166	1312
5153	205	5029
7857	19	688
5174	598	8748
3063	328	5083
9755	640	4265
3791	13	3691
5672	688	5657
3818	256	4862
9391	10	9885
6329	571	10320
9661	289	4284
7933	151	7583
6996	19	4899
4875	151	7583
9544	493	1059
9812	688	4253
7971	28	9401
9293	205	7760
7864	445	4509
393	28	3949
3426	571	3297
3556	472	7216
3893	4	8360
9033	256	6506
3231	151	7583
9138	1	7590
5150	205	8709
7567	166	7567
6395	268	8467
1073	655	5114
7770	664	2020
10120	289	8616
5410	385	7143
10709	187	8660
8556	259	3266
8600	439	881
1320	256	6506
1850	268	8879
2750	460	5548
10304	148	3337
9862	16	7651
7445	562	7754
8448	259	3266
1694	382	4606
7937	277	5138
8086	31	3623
3750	220	7754
10300	391	3276
6024	10	5047
10607	151	7583
595	301	550
8172	586	5877
2512	469	6798
9686	151	7583
374	568	989
8487	13	9216
10266	679	7251
7365	538	1290
274	100	9372
7669	148	2191
6966	571	3297
9394	10	9888
3322	385	5517
9394	10	2737
10065	556	4069
9980	469	2110
9895	151	7583
4406	445	163
9223	58	697
4275	31	5245
7991	241	3089
382	193	4151
3684	10	8730
9400	10	9134
2998	160	1484
9550	205	1080
4919	286	2943
6684	499	10016
1435	574	9921
9344	454	4438
7650	40	8942
6464	34	1136
5957	31	9264
9867	205	6236
2908	28	7664
6041	7	5516
