6637	7213
2487	9749
632	4781
237	559
9057	2960
4275	4656
10747	396
2053	5781
4644	4606
10393	8768
5663	4724
10116	7164
11526	7997
3976	851
6706	10332
8835	6697
5084	2628
8	7793
9626	7153
3800	2639
11006	4822
10097	8051
8332	6346
818	1751
3136	3525
1710	3788
8373	3551
1963	1136
2492	3712
9554	5849
7536	8998
4842	5009
10744	2084
5677	5354
389	8549
11069	7290
226	961
3502	5186
101	6257
6425	2172
7370	6332
1238	2122
518	6732
8226	5047
7264	463
2273	10552
6596	1546
6586	5985
2534	536
2750	3583
1284	10694
11422	6437
1554	683
8312	1638
11306	1487
5548	4811
8534	2352
4437	3770
10649	3640
5283	3456
10471	5978
7526	6063
654	2962
4826	7215
2426	10558
4793	88
9350	1554
4590	9630
5510	10115
5875	7957
8486	3321
6640	9988
6549	2769
3640	9978
5111	5378
11009	7147
2606	99
1041	1121
8587	9937
10623	10537
2730	2982
6980	6952
8978	4734
11321	861
8202	4094
11561	4051
1577	3594
2280	3144
3063	1765
8166	3122
3416	621
3531	7605
4380	375
1886	9380
10468	4932
11524	1419
11331	9859
5900	5368
10722	1633
8022	1406
5394	2047
4041	4566
11007	5758
1457	3003
1902	1478
4453	10731
4150	945
6012	10513
1540	4620
2078	5615
5275	3454
5572	2731
5262	5184
7482	6172
5758	5806
11221	7339
3128	511
1744	8141
1379	4092
2451	7381
6551	1078
2037	2823
2359	1297
5972	10785
948	10514
3116	3773
7881	3916
2097	9549
11339	671
4113	6081
5503	5308
11245	123
2872	9026
7420	6194
4741	7285
7463	3443
6565	1641
10176	7251
88	4692
6979	5862
7932	2241
8648	7334
6382	10138
8411	9641
7613	4665
3971	3095
10344	10478
1611	1929
2904	5282
11116	7779
11528	4344
688	1573
4651	4764
11776	1120
11323	7075
4519	1020
10335	4473
437	3055
9776	4800
228	2115
124	6371
9582	575
5837	3789
2813	10486
5936	5398
5773	1730
5851	5321
9717	18
10464	1364
5980	10568
9914	6741
2727	4690
4101	6159
7109	5864
4910	2045
1144	8701
7115	8883
1995	6415
4960	5233
3866	4421
10120	7096
6349	4096
8561	4454
4141	3222
11553	1755
497	1366
4342	3981
3689	3045
5217	7043
9196	9998
3540	1307
1407	2382
9790	6837
7012	9455
3632	3658
3059	2187
9715	2249
8690	4963
3657	1794
5120	9299
716	10707
11210	726
9513	1571
9783	2355
9245	6805
8653	5098
1735	8873
11406	5900
933	2904
6052	614
1175	8579
4717	4960
7343	2985
9677	2740
5978	2437
3848	812
7304	5341
4219	1802
6920	1799
8779	4503
8073	10747
251	10047
5643	5904
10256	9523
7844	10468
10761	7675
10604	57
4407	10165
2101	2202
796	7983
3289	6966
9484	6958
2499	8654
5920	6280
11034	7227
8197	6440
440	3509
9017	2995
7570	6147
6007	1387
1064	176
9113	6861
6397	10262
677	10831
563	5557
10052	1644
9496	8698
7782	2266
5684	2168
1386	41
1274	681
4545	8922
11525	2574
5912	9039
10338	5951
8061	10374
4497	7776
86	4062
6828	1708
6178	9531
2759	10388
5292	7162
11078	7325
10624	4078
7076	2469
3189	417
4920	5154
5974	1216
5115	4406
4328	9843
9935	3991
9668	3181
3423	393
3771	2981
8419	4010
3117	201
10863	3420
7312	5893
4898	3947
9440	8787
10979	437
8375	6588
11026	7362
779	10777
11172	10090
2517	171
4339	10352
5672	7745
9809	1168
8067	6553
11811	8623
6033	5730
5566	5163
4063	8341
1852	3654
1832	8833
4863	10364
4466	9047
4747	2210
2911	4166
824	2182
6556	5938
7037	5823
2144	8399
9069	1424
10698	1327
429	2397
10364	6471
9344	3914
2164	7638
2647	4964
8205	10180
142	10824
9770	2472
8256	6351
11815	5348
4498	187
6318	3384
4276	10092
10878	7550
5867	1544
10978	7183
1347	7725
6846	5316
3542	8189
2877	2178
11233	1959
1855	2480
6312	10314
6273	5516
6518	8248
8416	10395
10328	3710
10875	2915
5184	3803
5099	561
10134	3963
9425	2094
8406	6349
9211	10373
3695	4086
5403	4100
1756	1034
6071	6954
2096	9081
2625	9344
10568	4941
1755	1035
11162	9339
4670	8278
8803	6710
6154	332
8369	4525
1453	1868
534	10255
3231	5809
2234	679
7360	5096
7183	9285
10018	1770
1533	8267
630	8287
2521	9322
3377	3371
4491	10212
5829	2075
5541	6016
7442	4226
6483	3760
2958	3124
11258	9699
1825	8390
10719	7260
9206	846
3405	3396
4902	7922
771	7633
9011	1499
5715	7378
5708	8253
222	7963
2800	29
11807	7667
3046	1253
1391	1658
11124	7352
3334	758
5994	10095
9906	455
11101	8808
6435	6414
913	7664
1297	330
9277	6846
4935	3135
6202	8675
6086	7382
5709	2289
7624	2939
2769	4563
6723	716
11486	3160
117	3078
3455	17
8323	4593
11671	6717
8188	9424
9952	228
10056	6995
2199	5307
10598	4990
3934	840
9263	7909
3781	3348
9266	9113
10159	10371
11745	7473
9887	2827
3411	9359
10259	7100
749	10730
5641	4006
6398	9962
3230	309
1311	6148
1132	10237
5451	5959
6834	1740
760	10778
3945	4436
3140	8667
7758	2180
11614	569
3194	4805
5290	6761
10177	3514
11217	1867
9452	2882
5226	9615
1405	2843
644	9381
5277	1094
4475	5185
3683	2597
4861	4936
260	5273
4858	9054
6705	105
